Timestamp,Price,Volume,DataType,Correction,MarketState
20260526 12:00:00.024,4505.2,1,A,R,N
20260526 12:00:00.028,4505.1,1,B,R,N
20260526 12:00:00.028,4505.2,1,T,R,N
20260526 12:00:00.028,4505.3,2,A,R,N
20260526 12:00:00.028,4505.1,2,B,R,N
20260526 12:00:00.028,4505.3,1,A,R,N
20260526 12:00:00.028,4505.1,3,B,R,N
20260526 12:00:00.028,4505.1,2,B,R,N
20260526 12:00:00.028,4505.1,1,B,R,N
20260526 12:00:00.028,4505.3,2,A,R,N
20260526 12:00:00.028,4505.0,3,B,R,N
20260526 12:00:00.028,4505.1,1,B,R,N
20260526 12:00:00.084,4505.0,3,B,R,N
20260526 12:00:00.144,4505.3,3,A,R,N
20260526 12:00:00.148,4505.1,1,B,R,N
20260526 12:00:00.164,4505.2,1,A,R,N
20260526 12:00:00.164,4505.2,2,A,R,N
20260526 12:00:00.228,4505.2,1,T,R,N
20260526 12:00:00.228,4505.2,1,A,R,N
20260526 12:00:00.236,4505.1,2,B,R,N
20260526 12:00:00.236,4505.1,3,B,R,N
20260526 12:00:00.236,4505.2,1,T,R,N
20260526 12:00:00.236,4505.3,2,A,R,N
20260526 12:00:00.236,4505.3,1,A,R,N
20260526 12:00:00.236,4505.2,1,B,R,N
20260526 12:00:00.240,4505.2,1,T,R,N
20260526 12:00:00.240,4505.1,4,B,R,N
20260526 12:00:00.240,4505.1,3,B,R,N
20260526 12:00:00.280,4505.3,1,T,R,N
20260526 12:00:00.280,4505.4,4,A,R,N
20260526 12:00:00.280,4505.4,1,T,R,N
20260526 12:00:00.280,4505.4,1,T,R,N
20260526 12:00:00.280,4505.4,2,A,R,N
20260526 12:00:00.280,4505.2,1,B,R,N
20260526 12:00:00.292,4505.4,3,A,R,N
20260526 12:00:00.292,4505.3,1,A,R,N
20260526 12:00:00.292,4505.1,3,B,R,N
20260526 12:00:00.292,4505.3,2,A,R,N
20260526 12:00:00.316,4505.3,1,T,R,N
20260526 12:00:00.316,4505.3,1,A,R,N
20260526 12:00:00.316,4505.4,3,A,R,N
20260526 12:00:00.316,4505.4,1,T,R,N
20260526 12:00:00.316,4505.4,1,T,R,N
20260526 12:00:00.316,4505.4,1,A,R,N
20260526 12:00:00.316,4505.4,2,A,R,N
20260526 12:00:00.316,4505.4,3,A,R,N
20260526 12:00:00.316,4505.3,1,A,R,N
20260526 12:00:00.768,4505.2,1,B,R,N
20260526 12:00:00.768,4505.2,2,B,R,N
20260526 12:00:00.768,4505.2,1,B,R,N
20260526 12:00:00.836,4505.4,3,A,R,N
20260526 12:00:00.848,4505.2,1,T,R,N
20260526 12:00:00.848,4505.1,4,B,R,N
