Timestamp,Price,Volume,DataType,Correction,MarketState
20260615 12:00:00.012,30567.00,2,A,R,N
20260615 12:00:00.012,30566.25,1,B,R,N
20260615 12:00:00.012,30566.25,2,B,R,N
20260615 12:00:00.012,30567.00,1,A,R,N
20260615 12:00:00.012,30566.25,1,B,R,N
20260615 12:00:00.016,30567.00,2,A,R,N
20260615 12:00:00.016,30566.00,2,B,R,N
20260615 12:00:00.028,30566.75,1,A,R,N
20260615 12:00:00.028,30566.00,1,B,R,N
20260615 12:00:00.028,30566.75,2,A,R,N
20260615 12:00:00.028,30566.75,3,A,R,N
20260615 12:00:00.028,30566.75,4,A,R,N
20260615 12:00:00.028,30566.75,3,A,R,N
20260615 12:00:00.028,30566.75,2,A,R,N
20260615 12:00:00.028,30566.00,2,B,R,N
20260615 12:00:00.028,30566.75,1,A,R,N
20260615 12:00:00.028,30567.00,1,A,R,N
20260615 12:00:00.032,30567.00,2,A,R,N
20260615 12:00:00.032,30566.25,1,B,R,N
20260615 12:00:00.032,30566.25,2,B,R,N
20260615 12:00:00.036,30567.00,3,A,R,N
20260615 12:00:00.036,30566.25,1,B,R,N
20260615 12:00:00.036,30566.00,1,B,R,N
20260615 12:00:00.036,30566.75,1,A,R,N
20260615 12:00:00.044,30566.75,2,A,R,N
20260615 12:00:00.048,30566.75,3,A,R,N
20260615 12:00:00.048,30565.75,2,B,R,N
20260615 12:00:00.048,30566.50,1,A,R,N
20260615 12:00:00.048,30566.50,2,A,R,N
20260615 12:00:00.048,30565.75,1,B,R,N
20260615 12:00:00.048,30565.75,2,B,R,N
20260615 12:00:00.048,30566.50,1,A,R,N
20260615 12:00:00.048,30565.75,3,B,R,N
20260615 12:00:00.048,30566.75,2,A,R,N
20260615 12:00:00.052,30566.75,1,A,R,N
20260615 12:00:00.052,30566.75,2,A,R,N
20260615 12:00:00.052,30566.75,3,A,R,N
20260615 12:00:00.056,30566.50,1,A,R,N
20260615 12:00:00.056,30566.50,2,A,R,N
20260615 12:00:00.056,30565.75,2,B,R,N
20260615 12:00:00.056,30566.50,3,A,R,N
20260615 12:00:00.056,30565.75,1,B,R,N
20260615 12:00:00.056,30566.50,2,A,R,N
20260615 12:00:00.056,30565.75,2,B,R,N
20260615 12:00:00.064,30565.75,3,B,R,N
20260615 12:00:00.064,30566.50,1,A,R,N
20260615 12:00:00.064,30566.00,1,B,R,N
20260615 12:00:00.064,30566.00,2,B,R,N
20260615 12:00:00.068,30566.25,1,B,R,N
20260615 12:00:00.068,30566.50,1,T,R,N
20260615 12:00:00.068,30566.75,2,A,R,N
20260615 12:00:00.068,30566.75,1,A,R,N
20260615 12:00:00.068,30567.00,1,A,R,N
20260615 12:00:00.068,30567.25,2,A,R,N
20260615 12:00:00.068,30566.25,2,B,R,N
20260615 12:00:00.084,30566.25,3,B,R,N
20260615 12:00:00.088,30566.25,2,B,R,N
20260615 12:00:00.088,30566.50,1,B,R,N
20260615 12:00:00.088,30567.25,1,A,R,N
20260615 12:00:00.088,30566.50,2,B,R,N
20260615 12:00:00.088,30566.50,3,B,R,N
20260615 12:00:00.088,30567.25,2,A,R,N
20260615 12:00:00.088,30566.50,2,B,R,N
20260615 12:00:00.088,30566.50,1,B,R,N
20260615 12:00:00.088,30567.25,1,A,R,N
20260615 12:00:00.092,30567.25,2,A,R,N
20260615 12:00:00.096,30566.50,2,B,R,N
20260615 12:00:00.100,30566.75,1,B,R,N
20260615 12:00:00.100,30567.25,1,A,R,N
20260615 12:00:00.104,30567.50,3,A,R,N
20260615 12:00:00.104,30566.50,3,B,R,N
20260615 12:00:00.104,30567.50,2,A,R,N
20260615 12:00:00.104,30566.75,1,B,R,N
20260615 12:00:00.104,30567.50,1,A,R,N
20260615 12:00:00.104,30567.75,3,A,R,N
20260615 12:00:00.104,30566.75,2,B,R,N
20260615 12:00:00.104,30567.00,1,B,R,N
20260615 12:00:00.140,30567.00,1,T,R,N
20260615 12:00:00.140,30566.75,2,B,R,N
20260615 12:00:00.140,30567.50,1,A,R,N
20260615 12:00:00.140,30566.75,3,B,R,N
20260615 12:00:00.140,30566.75,2,B,R,N
20260615 12:00:00.140,30567.75,3,A,R,N
20260615 12:00:00.140,30567.00,1,B,R,N
20260615 12:00:00.140,30566.75,1,B,R,N
20260615 12:00:00.140,30567.50,1,A,R,N
20260615 12:00:00.140,30567.50,2,A,R,N
20260615 12:00:00.140,30567.50,3,A,R,N
20260615 12:00:00.144,30567.50,2,A,R,N
20260615 12:00:00.184,30567.50,1,A,R,N
20260615 12:00:00.184,30566.75,2,B,R,N
20260615 12:00:00.184,30567.75,3,A,R,N
20260615 12:00:00.184,30566.75,1,B,R,N
20260615 12:00:00.184,30566.75,2,B,R,N
